store,origin,temperature,demand
A,2026-01-01T00:00:00.000Z,19,61
A,2026-01-02T00:00:00.000Z,13,72
A,2026-01-03T00:00:00.000Z,20,60
A,2026-01-04T00:00:00.000Z,14,71
A,2026-01-05T00:00:00.000Z,21,59
A,2026-01-06T00:00:00.000Z,15,70
A,2026-01-07T00:00:00.000Z,22,58
A,2026-01-08T00:00:00.000Z,16,69
A,2026-01-09T00:00:00.000Z,23,57
A,2026-01-10T00:00:00.000Z,17,68
A,2026-01-11T00:00:00.000Z,24,56
A,2026-01-12T00:00:00.000Z,18,67
A,2026-01-13T00:00:00.000Z,12,55
A,2026-01-14T00:00:00.000Z,19,66
A,2026-01-15T00:00:00.000Z,13,54
A,2026-01-16T00:00:00.000Z,20,65
A,2026-01-17T00:00:00.000Z,14,53
A,2026-01-18T00:00:00.000Z,21,64
A,2026-01-19T00:00:00.000Z,15,52
A,2026-01-20T00:00:00.000Z,22,63
A,2026-01-21T00:00:00.000Z,16,51
A,2026-01-22T00:00:00.000Z,23,62
A,2026-01-23T00:00:00.000Z,17,50
A,2026-01-24T00:00:00.000Z,24,61
A,2026-01-25T00:00:00.000Z,18,72
A,2026-01-26T00:00:00.000Z,12,60
A,2026-01-27T00:00:00.000Z,19,71
A,2026-01-28T00:00:00.000Z,13,59
A,2026-01-29T00:00:00.000Z,20,70
A,2026-01-30T00:00:00.000Z,14,58
A,2026-01-31T00:00:00.000Z,21,69
A,2026-02-01T00:00:00.000Z,15,57
B,2026-01-01T00:00:00.000Z,20,64
B,2026-01-02T00:00:00.000Z,14,52
B,2026-01-03T00:00:00.000Z,21,63
B,2026-01-04T00:00:00.000Z,15,51
B,2026-01-05T00:00:00.000Z,22,62
B,2026-01-06T00:00:00.000Z,16,50
B,2026-01-07T00:00:00.000Z,23,61
B,2026-01-08T00:00:00.000Z,17,72
B,2026-01-09T00:00:00.000Z,24,60
B,2026-01-10T00:00:00.000Z,18,71
B,2026-01-11T00:00:00.000Z,12,59
B,2026-01-12T00:00:00.000Z,19,70
B,2026-01-13T00:00:00.000Z,13,58
B,2026-01-14T00:00:00.000Z,20,69
B,2026-01-15T00:00:00.000Z,14,57
B,2026-01-16T00:00:00.000Z,21,68
B,2026-01-17T00:00:00.000Z,15,56
B,2026-01-18T00:00:00.000Z,22,67
B,2026-01-19T00:00:00.000Z,16,55
B,2026-01-20T00:00:00.000Z,23,66
B,2026-01-21T00:00:00.000Z,17,54
B,2026-01-22T00:00:00.000Z,24,65
B,2026-01-23T00:00:00.000Z,18,53
B,2026-01-24T00:00:00.000Z,12,64
B,2026-01-25T00:00:00.000Z,19,52
B,2026-01-26T00:00:00.000Z,13,63
B,2026-01-27T00:00:00.000Z,20,51
B,2026-01-28T00:00:00.000Z,14,62
B,2026-01-29T00:00:00.000Z,21,50
B,2026-01-30T00:00:00.000Z,15,61
B,2026-01-31T00:00:00.000Z,22,72
B,2026-02-01T00:00:00.000Z,16,60
