customer_id,snapshot_date,tenure_months,monthly_charge,cancellation_recorded,churn
C1,2026-01-01,1,,1,1
C2,2026-01-02,2,21,0,0
C3,2026-01-03,3,22,0,0
C4,2026-01-04,4,23,0,0
C5,2026-01-05,5,,0,0
C6,2026-01-06,6,25,0,0
C7,2026-01-07,7,26,0,0
C8,2026-01-08,8,27,0,0
C9,2026-01-09,9,,0,0
C10,2026-01-10,10,29,0,0
C11,2026-01-11,11,30,1,1
C12,2026-01-12,12,20,0,0
C13,2026-01-13,13,,0,0
C14,2026-01-14,14,22,0,0
C15,2026-01-15,15,23,0,0
C16,2026-01-16,16,24,0,0
C17,2026-01-17,17,,0,0
C18,2026-01-18,1,26,0,0
C19,2026-01-19,2,27,0,0
C20,2026-01-20,3,28,0,0
C21,2026-01-21,4,,1,1
C22,2026-01-22,5,30,0,0
C23,2026-01-23,6,20,0,0
C24,2026-01-24,7,21,0,0
C25,2026-01-25,8,,0,0
C26,2026-01-26,9,23,0,0
C27,2026-01-27,10,24,0,0
C28,2026-01-28,11,25,0,0
C29,2026-01-01,12,,0,0
C30,2026-01-02,13,27,0,0
C31,2026-01-03,14,28,1,1
C32,2026-01-04,15,29,0,0
C33,2026-01-05,16,,0,0
C34,2026-01-06,17,20,0,0
C35,2026-01-07,1,21,0,0
C36,2026-01-08,2,22,0,0
C37,2026-01-09,3,,0,0
C38,2026-01-10,4,24,0,0
C39,2026-01-11,5,25,0,0
C40,2026-01-12,6,26,0,0
C41,2026-01-13,7,,1,1
C42,2026-01-14,8,28,0,0
C43,2026-01-15,9,29,0,0
C44,2026-01-16,10,30,0,0
C45,2026-01-17,11,,0,0
C46,2026-01-18,12,21,0,0
C47,2026-01-19,13,22,0,0
C48,2026-01-20,14,23,0,0
C49,2026-01-21,15,,0,0
C50,2026-01-22,16,25,0,0
C51,2026-01-23,17,26,1,1
C52,2026-01-24,1,27,0,0
C53,2026-01-25,2,,0,0
C54,2026-01-26,3,29,0,0
C55,2026-01-27,4,30,0,0
C56,2026-01-28,5,20,0,0
C57,2026-01-01,6,,0,0
C58,2026-01-02,7,22,0,0
C59,2026-01-03,8,23,0,0
C60,2026-01-04,9,24,0,0
C1,2026-01-01,1,,1,1
